N,L=1,L=3,L=5,L=7,L=10
113,1.393273633249034,0.8062697739531448,0.756769318322551,0.7539662760242104,0.7538797579256151
114,1.40560348841053,0.8107158885069247,0.7599331145008088,0.7570064431063437,0.7569144044463423
115,1.4179333435720256,0.8151456864721253,0.7630637544259103,0.7600094831932086,0.7599116358599662
116,1.4302631987335217,0.8195596180764727,0.7661617850328518,0.7629758692774072,0.762871913608315
117,1.4425930538950178,0.8239581243355699,0.7692277478371934,0.7659060689793806,0.7657956934509015
118,1.4549229090565134,0.8283416371883097,0.7722621789785441,0.7688005446209774,0.7686834255353338
119,1.4672527642180095,0.8327105796314833,0.775265609263182,0.7716597532980615,0.7715355544668687
120,1.479582619379505,0.8370653658535468,0.7782385642058348,0.7744841469521722,0.7743525193771185
121,1.4919124745410015,0.8414064013675191,0.7811815640706538,0.7772741724412442,0.7771347539919267
122,1.5042423297024974,0.845734083142981,0.7840951239113972,0.7800302716093938,0.7798826866984157
123,1.516572184863993,0.8500487997371485,0.7869797536108499,0.7827528813557789,0.782596740611224
124,1.528902040025489,0.8543509314249955,0.789835957919507,0.7854424337025486,0.7852773336379396
125,1.5412318951869848,0.8586408503283969,0.7926642364935357,0.7880993558618768,0.7879248785437379
126,1.5535617503484807,0.8629189205442745,0.795465083932049,0.7907240703021029,0.7905397830152402
127,1.5658916055099767,0.8671854982717216,0.7982389898137058,0.7933169948129719,0.7931224497235946
128,1.578221460671472,0.8714409319380827,0.8009864387326598,0.7958785425700007,0.7956732763867983
129,1.5905513158329678,0.8756855623239749,0.8037079103338843,0.7984091221979569,0.7981926558312614
130,1.6028811709944641,0.879919722687227,0.8064038793478865,0.8009091378334761,0.8006809760526287
131,1.61521102615596,0.8841437388857221,0.8090748156248379,0.8033789891868162,0.8031386202758668
132,1.6275408813174552,0.8883579294991272,0.8117211841681377,0.8058190716027569,0.8055659670146225
133,1.6398707364789515,0.8925626059494972,0.8143434451674287,0.8082297761206578,0.8079633901298718
134,1.6522005916404474,0.8967580726207316,0.8169420540310878,0.8106114895336726,0.8103312588878502
135,1.6645304468019435,0.9009446269768862,0.8195174614182071,0.8129645944471396,0.8126699380172956
136,1.6768603019634394,0.9051225596793061,0.8220701132700846,0.8152894693361448,0.8149797877659946
137,1.689190157124935,0.9092921547025953,0.8246004508412451,0.8175864886022717,0.8172611639566492
138,1.7015200122864313,0.9134536894493882,0.8271089107300031,0.8198560226295453,0.8195144180420728
139,1.713849867447927,0.9176074348639324,0.829595924908594,0.822098437839573,0.8217398971597191
140,1.7261797226094229,0.9217536555444634,0.8320619207528789,0.824314096745895,0.8239379441855585
141,1.7385095777709194,0.9258926098543702,0.8345073210716508,0.82650335800755,0.8261088977873063
142,1.7508394329324148,0.9300245500321443,0.8369325441355505,0.828666576481862,0.8282530924770083
143,1.7631692880939105,0.9341497223001001,0.8393380037056086,0.8308041032764566,0.8303708586630002
144,1.7754991432554068,0.9382683669718737,0.8417241090614359,0.8329162858005174,0.8324625227012409
145,1.7878289984169018,0.9423807185586857,0.8440912650290637,0.8350034678152826,0.8345284069460307
146,1.8001588535783979,0.9464870058743677,0.8464398720084634,0.8370659894837982,0.8365688298001221
147,1.8124887087398946,0.9505874521391533,0.8487703260007498,0.8391041874199264,0.8385841057642327
148,1.8248185639013899,0.9546822750822231,0.8510830186350817,0.8411183947366212,0.8405745454859581
149,1.8371484190628855,0.9587716870430147,0.853378337195281,0.8431089410934817,0.8425404558081119
150,1.849478274224382,0.9628558950712827,0.8556566646461731,0.8450761527435782,0.8444821398164751
151,1.8618081293858777,0.9669351010259223,0.85791837965967,0.8470203525795766,0.8463998968869857
152,1.8741379845473738,0.9710095016725423,0.8601638566406015,0.8489418601791486,0.8482940227323571
153,1.8864678397088692,0.9750792887798042,0.862393465752311,0.8508409918496905,0.8501648094481462
154,1.898797694870365,0.9791446492145149,0.8646075729420263,0.8527180606723502,0.8520125455582676
155,1.9111275500318607,0.9832057650354852,0.8668065399660154,0.8545733765453689,0.8538375160599674
156,1.9234574051933562,0.9872628135861462,0.8689907244145373,0.856407246226749,0.8556400024682614
157,1.935787260354853,0.9913159675859414,0.8711604797366036,0.8582199733762532,0.8574202828598461
158,1.9481171155163486,0.9953653952204796,0.8733161552645551,0.8600118585967375,0.8591786319164806
159,1.9604469706778447,0.9994112602304696,0.8754580962384654,0.8617831994748363,0.8609153209678632
160,1.9727768258393406,1.0034537219994266,0.8775866438303825,0.8635342906209926,0.8626306180339873
161,1.9851066810008362,1.0074929356401678,0.879702135168418,0.8652654237088505,0.8643247878670038
162,1.997436536162332,1.0115290520800915,0.8818049033606853,0.8669768875140144,0.8659980919925804
163,2.009766391323828,1.015562218145248,0.8838952775191119,0.8686689679521785,0.867650788750771
164,2.022096246485324,1.0195925766432177,0.885973582783113,0.8703419481166407,0.8692831333364059
165,2.0344261016468197,1.0236202664447827,0.8880401403431532,0.8719961083151959,0.8708953778389942
166,2.0467559568083162,1.0276454225644225,0.8900952674641912,0.8736317261064319,0.8724877712821624
167,2.0590858119698106,1.0316681762396154,0.8921392775090252,0.8752490763354194,0.8740605596626203
168,2.071415667131307,1.0356886550089743,0.894172479961536,0.8768484311688106,0.8756139859886678
169,2.0837455222928023,1.0397069827892127,0.8961951804498424,0.8784300601293551,0.8771482903182481
170,2.0960753774542984,1.0437232799509482,0.8982076807693736,0.8799942301298335,0.8786637097965478
171,2.1084052326157945,1.0477376633933537,0.9002102789058625,0.8815412055064191,0.8801604786931531
172,2.1207350877772906,1.051750246617674,0.9022032690582713,0.883071248051478,0.8816388284387718
173,2.1330649429387867,1.0557611397995874,0.9041869416616473,0.8845846170458029,0.8830989876615154
174,2.1453947981002828,1.0597704498604623,0.9061615834099261,0.8860815692903036,0.884541182222756
175,2.1577246532617775,1.0637782805374787,0.9081274772786739,0.8875623591371469,0.8859656352525637
176,2.170054508423276,1.0677847324526468,0.9100849025477872,0.8890272385203589,0.8873725671847174
177,2.1823843635847706,1.0717899031807219,0.9120341348241434,0.8904764569858945,0.8887621957913139
178,2.194714218746266,1.075793887316037,0.9139754460642183,0.8919102617211848,0.8901347362169606
179,2.2070440739077624,1.0797967765382346,0.9159091045966653,0.8933288975841615,0.89149040101257
180,2.2193739290692585,1.0837986596769462,0.9178353751448646,0.8947326071317713,0.892829400168754
181,2.2317037842307554,1.0877996227753977,0.9197545188494493,0.8961216306479847,0.8941519411488272
182,2.24403363939225,1.091799749152962,0.9216667932908066,0.8974962061713048,0.8954582289214217
183,2.256363494553746,1.0957991194666765,0.9235724525115615,0.8988565695217835,0.8967484659927162
184,2.26869334971524,1.0997978117717147,0.9254717470390478,0.9002029543275512,0.8980228524382878
185,2.2810232048767376,1.1037959015808472,0.9273649239077636,0.9015355920508686,0.8992815859345904
186,2.2933530600382332,1.1077934619228824,0.929252226681821,0.9028547120137007,0.9005248617900607
187,2.3056829151997285,1.1117905634001113,0.9311338954773903,0.9041605414228288,0.9017528729758594
188,2.3180127703612254,1.1157872742447505,0.9330101669851403,0.9054533053944979,0.9029658101562538
189,2.330342625522721,1.119783660374417,0.9348812744926789,0.9067332269786115,0.9041638617186376
190,2.3426724806842163,1.1237797854466196,0.9367474479069953,0.908000527182478,0.9053472138032064
191,2.3550023358457124,1.1277757109122994,0.9386089137769075,0.9092554249941138,0.9065160503322762
192,2.3673321910072085,1.1317714960684162,0.940465895315516,0.9104981374051137,0.9076705530392644
193,2.3796620461687046,1.135767198109595,0.9423186124226646,0.9117288794330857,0.9088109014973238
194,2.3919919013302002,1.139762872178851,0.9441672817074123,0.9129478641436722,0.9099372731476493
195,2.4043217564916968,1.1437585714173883,0.9460121165105181,0.9141553026721444,0.9110498433274422
196,2.4166516116531924,1.1477543470134977,0.9478533269269342,0.9153514042445879,0.9121487852975529
197,2.428981466814688,1.1517502482505588,0.9496911198283192,0.9165363761986888,0.9132342702697976
198,2.4413113219761837,1.1557463225541562,0.9515256988855643,0.9177104240041123,0.9143064674339524
199,2.4536411771376794,1.159742615538322,0.9533572645913347,0.9188737512824948,0.91536554398443
200,2.465971032299177,1.1637391710509093,0.9551860142826297,0.9200265598270441,0.9164116651466477
201,2.478300887460671,1.167736031218128,0.9570121421633618,0.9211690496217607,0.9174449942030788
202,2.4906307426221668,1.1717332364882223,0.9588358393269518,0.9223014188602843,0.9184656925190021
203,2.502960597783664,1.1757308256743282,0.9606572937789478,0.9234238639643687,0.9194739195679487
204,2.51529045294516,1.1797288359965072,0.9624766904596567,0.9245365796019932,0.9204698329568464
205,2.5276203081066555,1.1837273031229734,0.9642942112668043,0.9256397587051168,0.9214535884508717
206,2.5399501632681516,1.187726261210518,0.9661100350782079,0.9267335924870815,0.9224253399980075
207,2.5522800184296464,1.1917257429441492,0.9679243377744724,0.9278182704596631,0.9233852397533094
208,2.564609873591143,1.1957257795759575,0.9697372922617084,0.9288939804497895,0.924333438102893
209,2.576939728752639,1.1997264009632083,0.971549068494264,0.9299609086159171,0.925270083687631
210,2.5892695839141346,1.2037276356056825,0.9733598334974849,0.9310192394640789,0.9261953234265747
211,2.6015994390756294,1.2077295106822774,0.9751697513904856,0.9320691558636105,0.9271093025400982
212,2.6139292942371264,1.2117320520868609,0.9769789834089433,0.9331108390625544,0.9280121645727684
213,2.6262591493986216,1.2157352844634122,0.9787876879279105,0.9341444687027526,0.9289040514159478
214,2.6385890045601177,1.219739231240443,0.980596020484647,0.9351702228346309,0.9297851033301266
215,2.650918859721613,1.2237439146647215,0.982404133801461,0.9361882779316807,0.9306554589669915
216,2.663248714883109,1.2277493558342931,0.9842121778085778,0.9371988089046439,0.9315152553912356
217,2.675578570044606,1.2317555747308326,0.9860202996670155,0.9382019891154039,0.932364628102105
218,2.687908425206101,1.235762590251309,0.9878286437914772,0.9391979903905932,0.9332037110546952
219,2.7002382803675977,1.2397704202389985,0.9896373518732586,0.9401869830349157,0.93403263668099
220,2.7125681355290934,1.2437790815138425,0.9914465629031685,0.9411691358441964,0.9348515359106522
221,2.7248979906905895,1.2477885899021584,0.9932564131944559,0.9421446161181568,0.9356605381915695
222,2.737227845852086,1.2517989602657293,0.9950670364057522,0.943113589672925,0.93645977151015
223,2.7495577010135803,1.2558102065302545,0.9968785635640216,0.9440762208532865,0.9372493624113803
224,2.7618875561750773,1.2598223417132048,0.9986911230875153,0.9450326725446754,0.9380294360186432
225,2.7742174113365743,1.2638353779510625,1.0005048408087378,0.9459831061849169,0.9388001160532964
226,2.7865472664980686,1.2678493265259703,1.0023198399974143,0.946927681775723,0.9395615248540194
227,2.7988771216595647,1.2718641978918026,1.0041362413834594,0.9478665578939457,0.9403137833959269
228,2.8112069768210604,1.275880001699652,1.0059541631799558,0.9487998917025952,0.9410570113094544
229,2.823536831982556,1.2798967468227616,1.0077737211061242,0.9497278389616232,0.9417913268990139
230,2.835866687144052,1.2839144413808892,1.0095950284102977,0.9506505540384831,0.9425168471614287
231,2.8481965423055478,1.2879330927641373,1.0114181958928912,0.951568189918464,0.9432336878041426
232,2.860526397467043,1.2919527076562378,1.0132433319293657,0.9524808982148089,0.9439419632632119
233,2.872856252628539,1.2959732920573066,1.0150705424931907,0.9533888291786172,0.9446417867210773
234,2.885186107790036,1.2999948513060868,1.016899931178793,0.9542921317085414,0.9453332701241233
235,2.8975159629515317,1.3040173901016734,1.018731599224497,0.9551909533602781,0.9460165242000205
236,2.9098458181130273,1.3080409125247392,1.020565645535459,0.9560854403558564,0.9466916584748615
237,2.922175673274524,1.3120654220582666,1.0224021667065808,0.9569757375927364,0.9473587812900853
238,2.934505528436019,1.316090921607796,1.0242412570454105,0.957861988652711,0.9480179998191938
239,2.946835383597515,1.3201174135211955,1.0260830085950297,0.9587443358106241,0.9486694200842682
240,2.9591652387590104,1.3241448996079632,1.0279275111569175,0.9596229200429045,0.9493131469722783
241,2.971495093920506,1.3281733811580714,1.029774852313798,0.9604978810359203,0.9499492842511938
242,2.983824949082002,1.3322028589603603,1.0316251174524576,0.9613693571941653,0.9505779345858985
243,2.996154804243499,1.3362333333204823,1.0334783897865463,0.9622374856482648,0.951199199553904
244,3.008484659404994,1.3402648040784177,1.035334750379347,0.963102402262824,0.9518131796608726
245,3.020814514566491,1.3442972706255578,1.0371942781665195,0.9639642416441098,0.9524199743559476
246,3.033144369727986,1.3483307319213784,1.0390570499788074,0.9648231371475771,0.9530196820468899
247,3.0454742248894817,1.3523651865096815,1.0409231405647206,0.965679220885238,0.9536124001150309
248,3.057804080050979,1.3564006325344578,1.042792622613182,0.966532623732882,0.9541982249300336
249,3.070133935212473,1.360437067755331,1.0446655667761269,0.9673834753371496,0.9547772518644719
250,3.082463790373969,1.3644744895626253,1.046542041691081,0.9682319041224642,0.9553495753082263
251,3.0947936455354643,1.3685128949920495,1.048422114003682,0.9690780372978223,0.9559152886826986
252,3.1071235006969626,1.372552280738998,1.0503058483901702,0.9699220008634494,0.9564744844548437
253,3.1194533558584583,1.3765926431724977,1.0521933075798253,0.9707639196173266,0.9570272541510316
254,3.1317832110199535,1.3806339783487827,1.0540845523773632,0.9716039171615832,0.9575736883707214
255,3.1441130661814487,1.3846762820245235,1.0559796416852805,0.9724421159087728,0.9581138767999743
256,3.1564429213429457,1.3887195496697045,1.057878632526149,0.9732786370880183,0.9586479082247827
257,3.168772776504442,1.392763776480161,1.0597815800648593,0.9741136007510485,0.9591758705442355
258,3.1811026316659374,1.3968089573897946,1.0616885376308056,0.9749471257781145,0.9596978507835106
259,3.1934324868274326,1.4008550870824426,1.0635995567400165,0.9757793298837966,0.9602139351067014
260,3.20576234198893,1.4049021600034457,1.0655146871172276,0.976610329622704,0.9607242088294755
261,3.2180921971504253,1.4089501703708907,1.0674339767178913,0.9774402403950699,0.9612287564315707
262,3.2304220523119196,1.4129991121865513,1.0693574717501233,0.978269176452245,0.9617276615691267
263,3.242751907473418,1.4170489792465266,1.0712852166965918,0.9790972509020923,0.9622210070868572
264,3.255081762634913,1.421099765151584,1.0732172543363259,0.9799245757142883,0.9627088750300579
265,3.2674116177964083,1.4251514633172135,1.0751536257664704,0.9807512617255308,0.963191346656463
266,3.2797414729579053,1.4292040669834016,1.0770943704239573,0.9815774186446599,0.9636685024479377
